cloudsc_expanded.pcode Loop 0: UNSAT (Time: 0.1752s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 1: UNSAT (Time: 0.1175s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 2: UNSAT (Time: 0.1292s, Quantifiers: 2, Atoms: 8, Size: 17, Vars: 8, Arrays: 0)
cloudsc_expanded.pcode Loop 3: UNSAT (Time: 0.1121s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 4: UNSAT (Time: 0.0978s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 5: UNSAT (Time: 0.1002s, Quantifiers: 1, Atoms: 1, Size: 7, Vars: 1, Arrays: 0)
cloudsc_expanded.pcode Loop 6: SAT (Time: 0.1043s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 7: UNSAT (Time: 0.1148s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 8: UNSAT (Time: 0.0991s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 9: UNSAT (Time: 0.1523s, Quantifiers: 2, Atoms: 8, Size: 17, Vars: 8, Arrays: 0)
cloudsc_expanded.pcode Loop 10: UNSAT (Time: 0.1056s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 11: UNSAT (Time: 0.1274s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 12: UNSAT (Time: 0.1184s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 13: UNSAT (Time: 0.1044s, Quantifiers: 2, Atoms: 5, Size: 13, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 14: UNSAT (Time: 0.1234s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
cloudsc_expanded.pcode Loop 15: UNSAT (Time: 0.1857s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 16: UNSAT (Time: 0.1221s, Quantifiers: 2, Atoms: 5, Size: 13, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 17: UNSAT (Time: 0.1029s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
cloudsc_expanded.pcode Loop 18: UNSAT (Time: 0.1074s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 19: UNSAT (Time: 0.1086s, Quantifiers: 2, Atoms: 5, Size: 13, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 20: UNSAT (Time: 0.1002s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
cloudsc_expanded.pcode Loop 21: UNSAT (Time: 0.1047s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 22: UNSAT (Time: 0.1032s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 23: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 24: SAT (Time: 0.0985s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 25: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 26: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 27: SAT (Time: 0.0965s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 28: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 29: SAT (Time: 0.1078s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 30: SAT (Time: 0.1024s, Quantifiers: 6, Atoms: 7, Size: 24, Vars: 6, Arrays: 1)
cloudsc_expanded.pcode Loop 31: SAT (Time: 0.1020s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 32: UNSAT (Time: 0.1022s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 33: UNSAT (Time: 0.1235s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 34: UNSAT (Time: 0.1156s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 35: UNSAT (Time: 0.0981s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 36: UNSAT (Time: 0.1038s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 37: UNSAT (Time: 0.1068s, Quantifiers: 1, Atoms: 2, Size: 8, Vars: 2, Arrays: 0)
cloudsc_expanded.pcode Loop 38: SAT (Time: 0.1663s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 39: UNSAT (Time: 0.1162s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 40: UNSAT (Time: 0.1054s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 41: UNSAT (Time: 0.1087s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 42: UNSAT (Time: 0.1150s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 43: UNSAT (Time: 0.1064s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 44: UNSAT (Time: 0.1021s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 45: UNSAT (Time: 0.1605s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 46: UNSAT (Time: 0.1099s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 47: UNSAT (Time: 0.1061s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 48: UNSAT (Time: 0.1027s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 49: UNSAT (Time: 0.1103s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 50: UNSAT (Time: 0.1008s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 51: UNSAT (Time: 0.1160s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 52: UNSAT (Time: 0.1939s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 53: UNSAT (Time: 0.1472s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 54: UNSAT (Time: 0.1655s, Quantifiers: 2, Atoms: 8, Size: 17, Vars: 8, Arrays: 0)
cloudsc_expanded.pcode Loop 55: UNSAT (Time: 0.1203s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 56: UNSAT (Time: 0.1255s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 57: UNSAT (Time: 0.1087s, Quantifiers: 2, Atoms: 8, Size: 17, Vars: 8, Arrays: 0)
cloudsc_expanded.pcode Loop 58: UNSAT (Time: 0.1077s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 59: UNSAT (Time: 0.1042s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 60: UNSAT (Time: 0.1086s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 61: UNSAT (Time: 0.1184s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 62: UNSAT (Time: 0.1070s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 63: UNSAT (Time: 0.1106s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 64: UNSAT (Time: 0.1150s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 65: UNSAT (Time: 0.1198s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 66: UNSAT (Time: 0.1049s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 67: UNSAT (Time: 0.1104s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 68: UNSAT (Time: 0.1190s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 69: UNSAT (Time: 0.1046s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 70: UNSAT (Time: 0.1135s, Quantifiers: 2, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 71: UNSAT (Time: 0.1170s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 72: UNSAT (Time: 0.1105s, Quantifiers: 1, Atoms: 4, Size: 10, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 73: SAT (Time: 0.1093s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 74: SAT (Time: 0.1108s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 75: SAT (Time: 0.1106s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 76: SAT (Time: 0.0986s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 77: SAT (Time: 0.0955s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 78: SAT (Time: 0.0962s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 79: SAT (Time: 0.1146s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 80: UNSAT (Time: 0.1534s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 81: SAT (Time: 0.1455s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 82: SAT (Time: 0.1030s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 83: UNSAT (Time: 0.1090s, Quantifiers: 1, Atoms: 6, Size: 16, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 84: SAT (Time: 0.1034s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 85: UNSAT (Time: 0.1068s, Quantifiers: 1, Atoms: 6, Size: 13, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 86: SAT (Time: 0.1097s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 87: SAT (Time: 0.1189s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 88: UNSAT (Time: 0.1161s, Quantifiers: 1, Atoms: 6, Size: 15, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 89: SAT (Time: 0.1194s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 90: UNSAT (Time: 0.1075s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 91: SAT (Time: 0.1104s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 92: SAT (Time: 0.1183s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 93: SAT (Time: 0.1204s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
