gram_schmidt_initial_map.pcode Loop 0: SAT (Time: 0.3064s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
gram_schmidt_initial_map.pcode Loop 1: SAT (Time: 0.3025s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
gram_schmidt_initial_map.pcode Loop 2: UNSAT (Time: 0.4093s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
gram_schmidt_initial_map.pcode Loop 3: SAT (Time: 0.3050s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
gram_schmidt_initial_map.pcode Loop 4: SAT (Time: 0.2120s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
gram_schmidt_initial_map.pcode Loop 5: UNSAT (Time: 0.2040s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
gram_schmidt_expanded.pcode Loop 0: SAT (Time: 0.2174s, Quantifiers: 29, Atoms: 13, Size: 83, Vars: 13, Arrays: 0)
gram_schmidt_expanded.pcode Loop 1: SAT (Time: 0.2069s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
gram_schmidt_expanded.pcode Loop 2: UNSAT (Time: 0.2044s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
gram_schmidt_expanded.pcode Loop 3: UNSAT (Time: 0.2031s, Quantifiers: 9, Atoms: 8, Size: 32, Vars: 8, Arrays: 0)
gram_schmidt_expanded.pcode Loop 4: SAT (Time: 0.2047s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
gram_schmidt_expanded.pcode Loop 5: UNSAT (Time: 0.2029s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
adi_map.pcode Loop 0: SAT (Time: 0.2023s, Quantifiers: 27, Atoms: 7, Size: 122, Vars: 7, Arrays: 0)
adi_map.pcode Loop 1: UNSAT (Time: 0.2041s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
adi_map.pcode Loop 2: SAT (Time: 0.2038s, Quantifiers: 4, Atoms: 5, Size: 22, Vars: 5, Arrays: 0)
adi_map.pcode Loop 3: UNSAT (Time: 0.2034s, Quantifiers: 1, Atoms: 4, Size: 14, Vars: 4, Arrays: 0)
adi_map.pcode Loop 4: UNSAT (Time: 0.2037s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
adi_map.pcode Loop 5: SAT (Time: 0.2073s, Quantifiers: 2, Atoms: 5, Size: 18, Vars: 5, Arrays: 0)
adi_map.pcode Loop 6: UNSAT (Time: 0.2036s, Quantifiers: 1, Atoms: 4, Size: 14, Vars: 4, Arrays: 0)
adi_map.pcode Loop 7: UNSAT (Time: 0.2014s, Quantifiers: 1, Atoms: 3, Size: 9, Vars: 3, Arrays: 0)
adi_map.pcode Loop 8: SAT (Time: 0.1029s, Quantifiers: 4, Atoms: 5, Size: 22, Vars: 5, Arrays: 0)
